theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.4842105263157895,-6.7894736842105265,0.481592,5.0,0.10755119678760544,0.0,0.0,0.055,0.002,0.195,1.643,0.045,0.176,0.038
0.5,-6.7894736842105265,0.466491,5.0,0.1166890459913452,0.0,0.0,0.055,0.002,0.204,1.643,0.045,0.186,0.042
0.2,-6.578947368421053,1.159272,5.0,0.018087524800678854,0.0,0.0,0.04,0.002,0.116,1.672,0.05,0.069,0.007
0.21578947368421053,-6.578947368421053,1.076507,5.0,0.021277147185688978,0.0,0.0,0.043,0.002,0.12,1.672,0.05,0.075,0.008
0.23157894736842105,-6.578947368421053,1.000035,5.0,0.02469944085673822,0.0,0.0,0.045,0.002,0.124,1.672,0.05,0.081,0.009
0.2473684210526316,-6.578947368421053,0.941188,5.0,0.028362523557962357,0.0,0.0,0.047,0.002,0.127,1.672,0.05,0.087,0.01
0.26315789473684215,-6.578947368421053,0.885745,5.0,0.032276465239630035,0.0,0.0,0.048,0.002,0.132,1.672,0.05,0.093,0.011
0.2789473684210526,-6.578947368421053,0.836838,5.0,0.036453943000813574,0.0,0.0,0.05,0.002,0.136,1.672,0.05,0.099,0.012
0.2947368421052632,-6.578947368421053,0.791743,5.0,0.04090979548543644,0.0,0.0,0.051,0.002,0.141,1.672,0.05,0.105,0.013
0.3105263157894737,-6.578947368421053,0.75197,5.0,0.04566107303058658,0.0,0.0,0.053,0.002,0.145,1.672,0.05,0.111,0.015
0.3263157894736842,-6.578947368421053,0.716018,5.0,0.05072712153129891,0.0,0.0,0.054,0.002,0.151,1.672,0.05,0.118,0.016
0.34210526315789475,-6.578947368421053,0.683365,5.0,0.05612966322115397,0.0,0.0,0.055,0.002,0.156,1.672,0.05,0.125,0.018
0.35789473684210527,-6.578947368421053,0.653578,5.0,0.061892935625355805,0.0,0.0,0.056,0.002,0.162,1.672,0.05,0.132,0.02
0.37368421052631584,-6.578947368421053,0.626296,5.0,0.06804386342598832,0.0,0.0,0.057,0.002,0.168,1.672,0.05,0.139,0.022
0.3894736842105263,-6.578947368421053,0.601215,5.0,0.07461226480329461,0.0,0.0,0.058,0.002,0.175,1.672,0.05,0.147,0.025
