theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.4,-3.666666666666667,0.677131,0.000143,1.354464477294864,0.1624142279976714,0.447723086274859,0.42015018631217216,0.11650764584269047,0.282,0.168,0.92,2.169,0.18,0.8,0.63
0.44999999999999996,-3.666666666666667,0.603812,0.000107,0.9926570640571885,0.12997204945781668,0.5813599694355321,0.5661451201689454,0.2414480455792526,0.292,0.21,1.055,2.169,0.18,0.947,0.828
0.5,-3.666666666666667,0.544929,6.2e-05,0.823330648216819,0.11302766317169581,0.7412387839206563,0.7300233719739707,0.3964740103942167,0.301,0.233,1.216,2.169,0.18,1.117,1.021
0.2,-3.0,1.389413,0.000581,0.0,1.0,0.14874884348991302,0.0,0.0,0.276,0.0,0.769,2.315,0.227,0.493,0.0
0.25,-3.0,1.125625,0.000355,1.1034874929496683,-0.00010632138337654809,0.23280216781370214,0.23278050637977543,0.008747209141231393,0.314,0.317,0.859,2.315,0.227,0.625,0.629
0.3,-3.0,0.946626,0.00022,1.3121838240291128,-1.5725645391916312e-06,0.3349949988599966,0.33195256159839537,0.11037387210073579,0.342,0.287,0.966,2.315,0.227,0.762,0.69
0.35,-3.0,0.816671,0.000151,0.9669678063351647,-2.9224928715965344e-06,0.45781257030688827,0.4571689430279034,0.23146922344640297,0.363,0.339,1.092,2.315,0.227,0.912,0.88
0.4,-3.0,0.718277,0.000142,0.7802756283749966,-2.5082871082105817e-06,0.6042543883011415,0.6041247348324998,0.3765056023182628,0.38,0.37,1.241,2.315,0.227,1.08,1.066
0.44999999999999996,-3.0,0.641342,0.0,0.6545240554751878,-7.78632757109018e-07,0.7774300955570586,0.7774232689110183,0.5490628649402768,0.394,0.392,1.416,2.315,0.227,1.27,1.267
0.5,-3.0,0.57912,1e-06,0.57912,1e-06,0.9800845892204034,0.9800845892204034,0.7514733199005045,0.406,0.406,1.62,2.315,0.227,1.487,1.487
