theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents
1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.6321205588285577,0.7777777777777777
1.2222222222222223,0.0,1.222222,1.0,0.0,1.0,2.2222222222221975,1.7054251716898927,0.8510823906391127
1.4444444444444444,0.0,1.444444,1.0,0.0,1.0,2.4444444444443456,1.7641229170143,0.90978013596352
1.6666666666666665,0.0,1.666667,1.0,0.0,1.0,2.666666666666611,1.811124397162438,0.9567816161116581
1.8888888888888888,0.0,1.888889,1.0,0.0,1.0,2.8888888888888826,1.8487602403095043,0.9944174592587243
2.111111111111111,0.0,2.111111,1.0,0.0,1.0,3.111111111111105,1.8788966676076702,1.0245538865568902
2.333333333333333,0.0,2.333333,1.0,0.0,1.0,3.3333333333332775,1.903028032135595,1.048685251084815
2.5555555555555554,0.0,2.555556,1.0,0.0,1.0,3.5555555555554568,1.9223509182965242,1.0680081372457444
2.7777777777777777,0.0,2.777778,1.0,0.0,1.0,3.777777777777753,1.9378234759778836,1.0834806949271039
3.0,0.0,3.0,1.0,0.0,1.0,4.0,1.950212931632136,1.0958701505813564
1.0,0.1111111111111111,1.0,1.0,0.0,1.0,1.8888888888888888,1.5210094477174465,0.6666666666666669
1.2222222222222223,0.1111111111111111,1.222222,1.0,0.0,1.0,2.1111111111110867,1.5943140605787816,0.7399712795280019
1.4444444444444444,0.1111111111111111,1.444444,1.0,0.0,1.0,2.3333333333332344,1.6530118059031889,0.7986690248524092
1.6666666666666665,0.1111111111111111,1.666667,1.0,0.0,1.0,2.5555555555555,1.7000132860513268,0.8456705050005474
1.8888888888888888,0.1111111111111111,1.888889,1.0,0.0,1.0,2.7777777777777715,1.737649129198393,0.8833063481476134
2.111111111111111,0.1111111111111111,2.111111,1.0,0.0,1.0,2.999999999999994,1.767785556496559,0.9134427754457796
2.333333333333333,0.1111111111111111,2.333333,1.0,0.0,1.0,3.2222222222221664,1.7919169210244839,0.9375741399737042
2.5555555555555554,0.1111111111111111,2.555556,1.0,0.0,1.0,3.4444444444443456,1.811239807185413,0.9568970261346333
2.7777777777777777,0.1111111111111111,2.777778,1.0,0.0,1.0,3.6666666666666416,1.8267123648667725,0.9723695838159928
3.0,0.1111111111111111,3.0,1.0,0.0,1.0,3.888888888888889,1.8391018205210248,0.9847590394702453
1.0,0.2222222222222222,1.0,1.0,0.0,1.0,1.7777777777777777,1.4098983366063353,0.5555555555555558
1.2222222222222223,0.2222222222222222,1.222222,1.0,0.0,1.0,1.9999999999999756,1.4832029494676706,0.6288601684168909
1.4444444444444444,0.2222222222222222,1.444444,1.0,0.0,1.0,2.2222222222221233,1.5419006947920777,0.6875579137412982
1.6666666666666665,0.2222222222222222,1.666667,1.0,0.0,1.0,2.4444444444443887,1.588902174940216,0.7345593938894363
1.8888888888888888,0.2222222222222222,1.888889,1.0,0.0,1.0,2.6666666666666603,1.626538018087282,0.7721952370365024
2.111111111111111,0.2222222222222222,2.111111,1.0,0.0,1.0,2.8888888888888826,1.656674445385448,0.8023316643346684
2.333333333333333,0.2222222222222222,2.333333,1.0,0.0,1.0,3.111111111111055,1.6808058099133727,0.826463028862593
2.5555555555555554,0.2222222222222222,2.555556,1.0,0.0,1.0,3.3333333333332344,1.700128696074302,0.8457859150235223
2.7777777777777777,0.2222222222222222,2.777778,1.0,0.0,1.0,3.5555555555555305,1.7156012537556613,0.8612584727048818
3.0,0.2222222222222222,3.0,1.0,0.0,1.0,3.7777777777777777,1.7279907094099138,0.8736479283591342
1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.6666666666666667,1.2987872254952244,0.44444444444444475
1.2222222222222223,0.3333333333333333,1.222222,1.0,0.0,1.0,1.8888888888888644,1.3720918383565595,0.5177490573057798
1.4444444444444444,0.3333333333333333,1.444444,1.0,0.0,1.0,2.111111111111012,1.4307895836809668,0.5764468026301871
1.6666666666666665,0.3333333333333333,1.666667,1.0,0.0,1.0,2.333333333333278,1.477791063829105,0.6234482827783252
1.8888888888888888,0.3333333333333333,1.888889,1.0,0.0,1.0,2.555555555555549,1.515426906976171,0.6610841259253915
2.111111111111111,0.3333333333333333,2.111111,1.0,0.0,1.0,2.7777777777777715,1.5455633342743371,0.6912205532235574
2.333333333333333,0.3333333333333333,2.333333,1.0,0.0,1.0,2.999999999999944,1.5696946988022615,0.715351917751482
2.5555555555555554,0.3333333333333333,2.555556,1.0,0.0,1.0,3.2222222222221237,1.589017584963191,0.7346748039124114
2.7777777777777777,0.3333333333333333,2.777778,1.0,0.0,1.0,3.4444444444444198,1.6044901426445504,0.7501473615937708
