theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,-7.0,1.143452,0.003741,5.0,1.0,0.013356311426429233,0.0,0.0,0.031,0.0,0.089,1.615,0.04,0.052,0.0
0.21578947368421053,-7.0,1.061958,0.002715,5.0,1.0,0.01572719852633204,0.0,0.0,0.032,0.0,0.092,1.615,0.04,0.056,0.0
0.23157894736842105,-7.0,0.990903,0.002635,5.0,1.0,0.01827069280598782,0.0,0.0,0.034,0.0,0.095,1.615,0.04,0.061,0.0
0.2473684210526316,-7.0,0.928409,0.002031,5.0,1.0,0.020992231572485053,0.0,0.0,0.036,0.0,0.098,1.615,0.04,0.065,0.0
0.26315789473684215,-7.0,0.874086,0.001738,5.0,1.0,0.023899067502395836,0.0,0.0,0.037,0.0,0.101,1.615,0.04,0.07,0.0
0.2789473684210526,-7.0,0.826204,0.001102,5.0,1.0,0.027000152314626765,0.0,0.0,0.038,0.0,0.104,1.615,0.04,0.075,0.0
0.2947368421052632,-7.0,0.782627,0.000832,5.0,1.0,0.030306097656091893,0.0,0.0,0.039,0.0,0.108,1.615,0.04,0.079,0.0
0.3105263157894737,-7.0,0.743927,0.000454,5.0,1.0,0.03382916327560545,0.0,0.0,0.04,0.0,0.111,1.615,0.04,0.084,0.0
0.3263157894736842,-7.0,0.708531,0.000412,5.0,1.0,0.03758330442050446,0.0,0.0,0.041,0.0,0.115,1.615,0.04,0.089,0.0
0.34210526315789475,-7.0,0.676423,0.000382,5.0,1.0,0.04158422821863895,0.0,0.0,0.042,0.0,0.119,1.615,0.04,0.094,0.0
0.35789473684210527,-7.0,0.645938,0.000516,5.0,1.0,0.04584951244914241,0.0,0.0,0.043,0.0,0.124,1.615,0.04,0.099,0.0
0.37368421052631584,-7.0,0.618914,0.000475,5.0,1.0,0.05039871174051947,0.0,0.0,0.044,0.0,0.128,1.615,0.04,0.105,0.0
0.3894736842105263,-7.0,0.59406,0.000441,5.0,1.0,0.055253542132896974,0.0,0.0,0.044,0.0,0.133,1.615,0.04,0.111,0.0
0.4052631578947369,-7.0,0.571475,0.00025,5.0,1.0,0.060438049424929,0.0,0.0,0.045,0.0,0.139,1.615,0.04,0.117,0.0
0.4210526315789474,-7.0,0.550233,0.000217,5.0,1.0,0.06597883098187084,0.0,0.0,0.046,0.0,0.144,1.615,0.04,0.123,0.0
0.4368421052631579,-7.0,0.530507,0.000192,5.0,1.0,0.07190527330229927,0.0,0.0,0.046,0.0,0.15,1.615,0.04,0.13,0.0
0.45263157894736844,-7.0,0.512138,0.000174,5.0,1.0,0.07824983727154722,0.0,0.0,0.047,0.0,0.157,1.615,0.04,0.137,0.0
0.46842105263157896,-7.0,0.494982,0.000163,5.0,1.0,0.08504836425730636,0.0,0.0,0.047,0.0,0.164,1.615,0.04,0.144,0.0
0.4842105263157895,-7.0,0.478982,0.000143,5.0,1.0,0.09234029066647938,0.0,0.0,0.048,0.0,0.171,1.615,0.04,0.152,0.0
0.5,-7.0,0.46397,0.00013,5.0,1.0,0.10016911990534813,0.0,0.0,0.048,0.0,0.179,1.615,0.04,0.161,0.0
0.2,-6.7894736842105265,1.149129,0.003049,5.0,1.0,0.015563990434025307,0.0,0.0,0.035,0.0,0.102,1.643,0.045,0.06,0.0
0.21578947368421053,-6.7894736842105265,1.067571,0.002138,5.0,1.0,0.018317585480030023,0.0,0.0,0.037,0.0,0.105,1.643,0.045,0.065,0.0
0.23157894736842105,-6.7894736842105265,0.996002,0.002238,5.0,1.0,0.02127190824284059,0.0,0.0,0.039,0.0,0.108,1.643,0.045,0.07,0.0
0.2473684210526316,-6.7894736842105265,0.933546,0.001785,5.0,1.0,0.02443352176874009,0.0,0.0,0.041,0.0,0.112,1.643,0.045,0.075,0.0
0.26315789473684215,-6.7894736842105265,0.878563,0.001527,5.0,1.0,0.027811097016403847,0.0,0.0,0.042,0.0,0.115,1.643,0.045,0.081,0.0
0.2789473684210526,-6.7894736842105265,0.830356,0.000955,5.0,1.0,0.031415283922833416,0.0,0.0,0.044,0.0,0.119,1.643,0.045,0.086,0.0
0.2947368421052632,-6.7894736842105265,0.786538,0.000732,5.0,1.0,0.03525865947606172,0.0,0.0,0.045,0.0,0.123,1.643,0.045,0.091,0.0
0.3105263157894737,-6.7894736842105265,0.747615,0.000404,5.0,1.0,0.03935572197951525,0.0,0.0,0.046,0.0,0.128,1.643,0.045,0.097,0.0
0.3263157894736842,-6.7894736842105265,0.712054,0.000368,5.0,1.0,0.04372294512396662,0.0,0.0,0.047,0.0,0.132,1.643,0.045,0.103,0.0
0.34210526315789475,-6.7894736842105265,0.679796,0.000343,5.0,1.0,0.04837884797608904,0.0,0.0,0.048,0.0,0.137,1.643,0.045,0.109,0.0
0.35789473684210527,-6.7894736842105265,0.649212,0.00046,5.0,1.0,0.053344130130268376,0.0,0.0,0.049,0.0,0.142,1.643,0.045,0.115,0.0
0.37368421052631584,-6.7894736842105265,0.622062,0.000424,5.0,1.0,0.05864179698936931,0.0,0.0,0.05,0.0,0.147,1.643,0.045,0.121,0.0
0.3894736842105263,-6.7894736842105265,0.597091,0.000396,5.0,1.0,0.06429737047413478,0.0,0.0,0.051,0.0,0.153,1.643,0.045,0.128,0.0
0.4052631578947369,-6.7894736842105265,0.574371,0.000217,5.0,1.0,0.07033908339445219,0.0,0.0,0.051,0.0,0.159,1.643,0.045,0.135,0.0
0.4210526315789474,-6.7894736842105265,0.553026,0.00019,5.0,1.0,0.07679813165731433,0.0,0.0,0.052,0.0,0.166,1.643,0.045,0.142,0.0
0.4368421052631579,-6.7894736842105265,0.533202,0.00017,5.0,1.0,0.08370894967140095,0.0,0.0,0.053,0.0,0.173,1.643,0.045,0.15,0.0
0.45263157894736844,-6.7894736842105265,0.514735,0.000158,5.0,1.0,0.09110952906534416,0.0,0.0,0.053,0.0,0.18,1.643,0.045,0.158,0.0
0.46842105263157896,-6.7894736842105265,0.497535,0.00014,5.0,1.0,0.09904166932277551,0.0,0.0,0.054,0.0,0.188,1.643,0.045,0.167,0.0
0.4842105263157895,-6.7894736842105265,0.481445,0.000126,5.0,1.0,0.10755131870135373,0.0,0.0,0.055,0.0,0.197,1.643,0.045,0.176,0.0
0.5,-6.7894736842105265,0.466355,0.000115,5.0,1.0,0.11668921325384543,0.0,0.0,0.055,0.0,0.206,1.643,0.045,0.186,0.0
0.2,-6.578947368421053,1.155969,0.002645,5.0,1.0,0.018087572144894985,0.0,0.0,0.04,0.0,0.116,1.672,0.05,0.069,0.0
0.21578947368421053,-6.578947368421053,1.073294,0.002166,5.0,1.0,0.02127718118966197,0.0,0.0,0.043,0.0,0.12,1.672,0.05,0.075,0.0
0.23157894736842105,-6.578947368421053,1.001278,0.001754,5.0,1.0,0.024699546221107177,0.0,0.0,0.045,0.0,0.124,1.672,0.05,0.081,0.0
0.2473684210526316,-6.578947368421053,0.938631,0.001542,5.0,1.0,0.028362544961119982,0.0,0.0,0.047,0.0,0.128,1.672,0.05,0.087,0.0
0.26315789473684215,-6.578947368421053,0.88339,0.001348,5.0,1.0,0.03227648365062262,0.0,0.0,0.048,0.0,0.132,1.672,0.05,0.093,0.0
0.2789473684210526,-6.578947368421053,0.834859,0.000835,5.0,1.0,0.036453961459791906,0.0,0.0,0.05,0.0,0.136,1.672,0.05,0.099,0.0
0.2947368421052632,-6.578947368421053,0.7908,0.000647,5.0,1.0,0.0409098091140796,0.0,0.0,0.051,0.0,0.141,1.672,0.05,0.105,0.0
0.3105263157894737,-6.578947368421053,0.751644,0.00036,5.0,1.0,0.04566108407756088,0.0,0.0,0.053,0.0,0.146,1.672,0.05,0.111,0.0
0.3263157894736842,-6.578947368421053,0.715905,0.00033,5.0,1.0,0.05072713281275049,0.0,0.0,0.054,0.0,0.151,1.672,0.05,0.118,0.0
0.34210526315789475,-6.578947368421053,0.682572,0.00045,5.0,1.0,0.05612967881368046,0.0,0.0,0.055,0.0,0.157,1.672,0.05,0.125,0.0
0.35789473684210527,-6.578947368421053,0.652796,0.000411,5.0,1.0,0.061892954067495405,0.0,0.0,0.056,0.0,0.163,1.672,0.05,0.132,0.0
0.37368421052631584,-6.578947368421053,0.625509,0.00038,5.0,1.0,0.06804388629775712,0.0,0.0,0.057,0.0,0.169,1.672,0.05,0.139,0.0
0.3894736842105263,-6.578947368421053,0.600721,0.000222,5.0,1.0,0.07461229321178763,0.0,0.0,0.058,0.0,0.176,1.672,0.05,0.147,0.0
0.4052631578947369,-6.578947368421053,0.57755,0.00019,5.0,1.0,0.08163112932631529,0.0,0.0,0.059,0.0,0.183,1.672,0.05,0.155,0.0
0.4210526315789474,-6.578947368421053,0.556091,0.000168,5.0,1.0,0.08913675794204405,0.0,0.0,0.059,0.0,0.19,1.672,0.05,0.163,0.0
0.4368421052631579,-6.578947368421053,0.536155,0.000154,5.0,1.0,0.09716927348703797,0.0,0.0,0.06,0.0,0.198,1.672,0.05,0.172,0.0
0.45263157894736844,-6.578947368421053,0.517617,0.000138,5.0,1.0,0.1057727825439105,0.0,0.0,0.061,0.0,0.207,1.672,0.05,0.182,0.0
0.46842105263157896,-6.578947368421053,0.500329,0.000123,5.0,1.0,0.11499563358488306,0.0,0.0,0.062,0.0,0.217,1.672,0.05,0.192,0.0
0.4842105263157895,-6.578947368421053,0.484149,0.000111,5.0,1.0,0.12489114992557143,0.0,0.0,0.062,0.0,0.226,1.672,0.05,0.203,0.0
0.5,-6.578947368421053,0.468978,0.000102,5.0,1.0,0.13551787703902105,0.0,0.0,0.063,0.0,0.237,1.672,0.05,0.214,0.0
0.2,-6.368421052631579,1.162881,0.002173,5.0,1.0,0.020962896605553248,0.0,0.0,0.046,0.0,0.132,1.701,0.056,0.079,0.0
0.21578947368421053,-6.368421052631579,1.079656,0.001861,5.0,1.0,0.024647615833412132,0.0,0.0,0.049,0.0,0.137,1.701,0.056,0.086,0.0
0.23157894736842105,-6.368421052631579,1.007434,0.001571,5.0,1.0,0.0286014356366535,0.0,0.0,0.051,0.0,0.141,1.701,0.056,0.092,0.0
0.2473684210526316,-6.368421052631579,0.944076,0.001312,5.0,1.0,0.03283373998432102,0.0,0.0,0.053,0.0,0.145,1.701,0.056,0.099,0.0
0.26315789473684215,-6.368421052631579,0.888615,0.001195,5.0,1.0,0.03735671506012126,0.0,0.0,0.055,0.0,0.15,1.701,0.056,0.106,0.0
0.2789473684210526,-6.368421052631579,0.839756,0.000736,5.0,1.0,0.042185180669262405,0.0,0.0,0.057,0.0,0.155,1.701,0.056,0.113,0.0
0.2947368421052632,-6.368421052631579,0.795453,0.000575,5.0,1.0,0.04733653066895884,0.0,0.0,0.058,0.0,0.161,1.701,0.056,0.12,0.0
0.3105263157894737,-6.368421052631579,0.756051,0.000323,5.0,1.0,0.05283072492460333,0.0,0.0,0.06,0.0,0.166,1.701,0.056,0.128,0.0
0.3263157894736842,-6.368421052631579,0.720121,0.000297,5.0,1.0,0.058690359869418056,0.0,0.0,0.061,0.0,0.172,1.701,0.056,0.135,0.0
0.34210526315789475,-6.368421052631579,0.686657,0.000402,5.0,1.0,0.06494077042135271,0.0,0.0,0.062,0.0,0.179,1.701,0.056,0.143,0.0
0.35789473684210527,-6.368421052631579,0.656721,0.000369,5.0,1.0,0.07161017771753801,0.0,0.0,0.064,0.0,0.186,1.701,0.056,0.151,0.0
0.37368421052631584,-6.368421052631579,0.629287,0.000342,5.0,1.0,0.07872989826989031,0.0,0.0,0.065,0.0,0.193,1.701,0.056,0.16,0.0
0.3894736842105263,-6.368421052631579,0.604338,0.000195,5.0,1.0,0.08633456205971551,0.0,0.0,0.066,0.0,0.201,1.701,0.056,0.169,0.0
0.4052631578947369,-6.368421052631579,0.581035,0.000169,5.0,1.0,0.09446238814235272,0.0,0.0,0.067,0.0,0.209,1.701,0.056,0.178,0.0
0.4210526315789474,-6.368421052631579,0.559449,0.000152,5.0,1.0,0.10315549606433984,0.0,0.0,0.068,0.0,0.218,1.701,0.056,0.188,0.0
0.4368421052631579,-6.368421052631579,0.539411,0.000138,5.0,1.0,0.11246021128850131,0.0,0.0,0.068,0.0,0.227,1.701,0.056,0.198,0.0
0.45263157894736844,-6.368421052631579,0.520787,0.000121,5.0,1.0,0.1224272203217713,0.0,0.0,0.069,0.0,0.237,1.701,0.056,0.209,0.0
0.46842105263157896,-6.368421052631579,0.503393,0.000109,5.0,1.0,0.13311230884840372,0.0,0.0,0.07,0.0,0.248,1.701,0.056,0.221,0.0
0.4842105263157895,-6.368421052631579,0.487119,0.0001,5.0,1.0,0.14457666345493306,0.0,0.0,0.071,0.0,0.26,1.701,0.056,0.233,0.0
