theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents
1.0,1.0,0.0005920512663180636,0.5,0.0005918760039670892,0.0
1.0526315789473684,1.052632,0.10530734598032152,0.5540166204985263,0.10530501931531307,3.116059296410861e-05
1.1052631578947367,1.105263,0.21057009414835012,0.6108033240997104,0.21056548494177496,0.0055736524866652325
1.1578947368421053,1.157895,0.3158324655603054,0.6703601108032894,0.3158256764451924,0.01665628902078896
1.2105263157894737,1.210526,0.4210944966645328,0.7326869806093683,0.42108568208596164,0.033279050366068194
1.263157894736842,1.263158,0.5263562027087212,0.7977839335179999,0.5263455668302546,0.055441918611569815
1.3157894736842106,1.315789,0.6316175836062113,0.8656509695289738,0.631605381942635,0.08314487664887098
1.368421052631579,1.368421,0.7368786506709815,0.9362880886426579,0.736865185905579,0.11638790736498732
1.4210526315789473,1.421053,0.8421394451325023,1.009695290858658,0.8421250521379375,0.15517099424240727
1.4736842105263157,1.473684,0.9474000297326802,1.0858725761772632,0.9473850567004714,0.19949412293359153
1.526315789473684,1.526316,1.0526604557319554,1.1648199445983154,1.0526452570073437,0.24935728239320615
1.5789473684210527,1.578947,1.157920740199796,1.2465373961218158,1.1579056852862035,0.30476046427383546
1.631578947368421,1.631579,1.2631808789044339,1.331024930747921,1.2631663623239242,0.3657036611264563
1.6842105263157894,1.684211,1.3684408766545917,1.418282548476342,1.368427312652876,0.432186865279321
1.736842105263158,1.736842,1.4737007672952753,1.5083102493074738,1.4736885674337157,0.5042100693137737
1.7894736842105263,1.789474,1.5789606052781255,1.6011080332409473,1.5789501550401979,0.581773267592472
1.8421052631578947,1.842105,1.684220437011984,1.6966759002769736,1.6842120911134457,0.6648764573439518
1.894736842105263,1.894737,1.7894802825135916,1.7950138504155,1.7894743787469747,0.7535196382393197
1.9473684210526314,1.947368,1.894740139512093,1.8961218836564204,1.8947370156475545,0.8477028110031928
2.0,2.0,1.9999999999999347,2.0,2.0,0.9474259762406716
