theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,-7.0,1.148603,20.0,0.013356255990089681,-0.0040000000051724025,0.0,0.031,0.0,0.089,1.615,0.04,0.052,0.0
0.3,-7.0,0.770523,20.0,0.03145566198913296,-0.0040000000051724025,0.0,0.04,0.0,0.109,1.615,0.04,0.081,0.0
0.4,-7.0,0.579452,20.0,0.05867164388266811,-0.0040000000051724025,0.0,0.045,0.0,0.136,1.615,0.04,0.115,0.0
0.5,-7.0,0.464307,20.0,0.10016900235807323,-0.0040000000051724025,0.0,0.048,0.0,0.177,1.615,0.04,0.161,0.0
0.2,-5.666666666666667,1.191914,20.0,0.03359348117108388,-0.0040000000511585905,0.0,0.071,0.0,0.2,1.806,0.078,0.122,0.0
0.3,-5.666666666666667,0.801344,20.0,0.07827799271935647,-0.0040000000511585905,0.0,0.089,0.0,0.247,1.806,0.078,0.19,0.0
0.4,-5.666666666666667,0.602803,20.0,0.14595396069556593,-0.0040000000511585905,0.0,0.1,0.0,0.314,1.806,0.078,0.271,0.0
0.5,-5.666666666666667,0.483803,20.0,0.2494775225934887,-0.0040000000511585905,0.0,0.108,0.0,0.413,1.806,0.078,0.384,0.0
0.2,-4.333333333333334,1.266149,20.0,0.07525087146994724,-0.004000000454830224,0.0,0.147,0.0,0.409,2.036,0.139,0.259,0.0
0.3,-4.333333333333334,0.855107,20.0,0.17295170120829317,-0.004000000454830224,0.0,0.183,0.0,0.51,2.036,0.139,0.402,0.0
0.4,-4.333333333333334,0.645754,20.0,0.31937740313456153,-0.004000000454830224,0.0,0.205,0.0,0.652,2.036,0.139,0.575,0.0
0.5,-4.333333333333334,0.518898,1.1503597526893972,0.5372205615947752,0.5262132948448793,0.0,0.218,0.156,0.854,2.036,0.139,0.81,0.722
0.2,-3.0,1.390785,20.0,0.14874866980386678,-0.004000003635916899,0.0,0.276,0.0,0.764,2.315,0.227,0.493,0.0
0.3,-3.0,0.946924,1.1481705006686453,0.33499390417076036,0.33404536772728205,9.334613332190322e-06,0.342,0.31,0.953,2.315,0.227,0.762,0.722
0.4,-3.0,0.718584,0.9627794165124578,0.6042472678028609,0.6022654840701644,0.2642357354626649,0.38,0.339,1.207,2.315,0.227,1.08,1.026
0.5,-3.0,0.579126,0.579126,0.9800425583809196,0.9800425583809196,0.6357473397382652,0.406,0.406,1.54,2.315,0.227,1.487,1.487
