theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2888888888888889,5.333333333333333,0.831639,0.0,10.0,1.0,0.45892066706999163,0.0,0.0,0.0,0.289,0.0,0.879,5.356,0.064,0.82,0.0
0.37777777777777777,5.333333333333333,0.636,0.0,10.0,1.0,0.7800665669245975,0.0,0.0,0.0,0.301,0.0,1.202,5.356,0.064,1.156,0.0
0.4666666666666667,5.333333333333333,0.514888,0.0,10.0,1.0,1.1956152611776856,0.0,0.0,0.0,0.309,0.0,1.618,5.356,0.064,1.582,0.0
0.5555555555555556,5.333333333333333,0.432544,0.0,10.0,1.0,1.6885871022790742,0.0,0.0,0.0,0.314,0.0,2.112,5.356,0.064,2.081,0.0
0.6444444444444445,5.333333333333333,0.37295,0.0,10.0,1.0,2.2222842839963213,0.0,0.0,0.0,0.318,0.0,2.646,5.356,0.064,2.619,0.0
0.7333333333333334,5.333333333333333,0.327847,0.0,0.0,0.6905841991774198,2.7571927523723367,1.7845426706367742,0.07450985178717415,1.7100328188496001,0.321,0.106,3.181,5.356,0.064,3.158,1.917
0.8222222222222222,5.333333333333333,0.292247,0.0,0.19529584011158352,0.5973010942596823,3.2661380796619888,2.4330683888599776,0.340181333378078,2.0928870554818997,0.323,0.133,3.691,5.356,0.064,3.67,2.599
0.9111111111111112,5.333333333333333,0.263738,0.0,0.0,0.46317995188202865,3.737235146452496,3.2853933892287763,0.6402626009068669,2.6451307883219095,0.325,0.183,4.162,5.356,0.064,4.143,3.515
1.0,5.333333333333333,0.240296,0.0,0.0,0.3188983228978391,4.169096569071797,3.9915501280805827,0.978492705429543,3.01305742265104,0.326,0.233,4.594,5.356,0.064,4.577,4.282
0.2,5.777777777777778,1.209149,0.0,10.0,1.0,0.2915868108692382,0.0,0.0,0.0,0.317,0.0,0.782,5.79,0.069,0.688,0.0
0.2888888888888889,5.777777777777778,0.837232,0.0,10.0,1.0,0.5850451742950229,0.0,0.0,0.0,0.343,0.0,1.078,5.79,0.069,1.014,0.0
0.37777777777777777,5.777777777777778,0.640256,0.0,10.0,1.0,0.9845010285334213,0.0,0.0,0.0,0.356,0.0,1.48,5.79,0.069,1.43,0.0
0.4666666666666667,5.777777777777778,0.518324,0.0,10.0,1.0,1.483979229981045,0.0,0.0,0.0,0.365,0.0,1.98,5.79,0.069,1.94,0.0
0.5555555555555556,5.777777777777778,0.435426,0.0,10.0,1.0,2.0495410803491065,0.0,0.0,0.0,0.371,0.0,2.546,5.79,0.069,2.513,0.0
0.6444444444444445,5.777777777777778,0.375425,0.0,2.6866845462481543,0.7940128377564978,2.63294892545804,0.8679594828138584,0.05539414390527339,0.812565338908585,0.375,0.045,3.13,5.79,0.069,3.101,0.924
0.7333333333333334,5.777777777777778,0.330007,0.0,0.20779366756605774,0.5969210057421742,3.1946105438930923,2.369619360825769,0.3116369608704407,2.0579823999553284,0.378,0.156,3.692,5.79,0.069,3.667,2.564
0.8222222222222222,5.777777777777778,0.294191,0.0,0.10178275632429806,0.4634180126607315,3.7141212525636984,3.2287155578486755,0.6454564679720064,2.583259089876669,0.38,0.211,4.212,5.79,0.069,4.19,3.493
0.9111111111111112,5.777777777777778,0.265491,0.0,0.0,0.303585007561615,4.186727296614189,4.02329284764121,1.0354216746953653,2.987871172945845,0.382,0.279,4.685,5.79,0.069,4.665,4.372
1.0,5.777777777777778,0.241893,0.0,0.0,0.20640196035712455,4.6158810364156935,4.552012266614641,1.43262001134346,3.119392255271181,0.384,0.318,5.115,5.79,0.069,5.096,4.949
0.2,6.222222222222222,1.217275,0.0,10.0,1.0,0.36786901937028593,0.0,0.0,0.0,0.374,0.0,0.937,6.229,0.075,0.835,0.0
0.2888888888888889,6.222222222222222,0.842823,0.0,10.0,1.0,0.7320526372280178,0.0,0.0,0.0,0.402,0.0,1.305,6.229,0.075,1.234,0.0
0.37777777777777777,6.222222222222222,0.644517,0.0,10.0,1.0,1.2169075790511419,0.0,0.0,0.0,0.417,0.0,1.791,6.229,0.075,1.738,0.0
0.4666666666666667,6.222222222222222,0.521767,0.0,10.0,1.0,1.800307314507109,0.0,0.0,0.0,0.426,0.0,2.376,6.229,0.075,2.332,0.0
0.5555555555555556,6.222222222222222,0.438312,0.0,2.6473223256964578,0.8408043528043918,2.430547642692903,0.650146684204177,0.022975817333972914,0.6271708668702041,0.432,0.043,3.007,6.229,0.075,2.97,0.704
0.6444444444444445,6.222222222222222,0.377905,0.0,0.2823736764637478,0.6043336859806199,3.052664647502549,2.221504791433047,0.2495516325490886,1.9719531588839585,0.436,0.176,3.63,6.229,0.075,3.598,2.441
0.7333333333333334,6.222222222222222,0.332169,0.0,1.0392792245135702,0.41464738049964894,3.6318871227618437,3.0827875892433556,0.6095432334397702,2.4732443558035855,0.44,0.227,4.209,6.229,0.075,4.182,3.366
0.8222222222222222,6.222222222222222,0.296141,0.0,0.10867417796510209,0.09498401399700677,4.156162035118463,4.14843466114801,1.055104284094884,3.093330377053126,0.443,0.413,4.734,6.229,0.075,4.709,4.665
