theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.076984,1.0,0.9486478839525724,0.0,0.0,0.0,0.178,0.0,1.188,4.11,0.047,1.171,0.0
4.081632653061225,0.076108,1.0,1.0005515458836967,0.0,0.0,0.0,0.185,0.0,1.249,4.183,0.048,1.232,0.0
4.163265306122449,0.075248,1.0,1.0539059874541796,0.0,0.0,0.0,0.193,0.0,1.313,4.256,0.049,1.295,0.0
4.244897959183674,0.074403,1.0,1.108675537211085,0.0,0.0,0.0,0.201,0.0,1.378,4.33,0.05,1.36,0.0
4.326530612244898,0.073574,1.0,1.1648216747036386,0.0,0.0,0.0,0.209,0.0,1.444,4.405,0.051,1.426,0.0
4.408163265306122,0.07276,1.0,1.2223033281271283,0.0,0.0,0.0,0.217,0.0,1.512,4.479,0.052,1.493,0.0
4.489795918367347,0.071961,1.0,1.2810771805999517,0.0,0.0,0.0,0.225,0.0,1.582,4.555,0.053,1.562,0.0
4.571428571428571,0.071176,1.0,1.3410979805634837,0.0,0.0,0.0,0.233,0.0,1.653,4.631,0.054,1.633,0.0
4.653061224489796,0.070406,0.9988853540459735,1.4023188521373517,0.004857177121166991,9.251858538542974e-16,0.004857177121166066,0.242,0.0,1.725,4.707,0.055,1.705,0.005
4.73469387755102,0.069649,0.9967261236538534,1.4646916014536666,0.014724067664747119,0.00017861211351370235,0.014545455551233417,0.251,0.001,1.799,4.784,0.056,1.778,0.016
4.816326530612245,0.068907,0.9954992635962311,1.5281670155477456,0.020884878951292204,0.0007012383278072904,0.020183640623484912,0.259,0.001,1.874,4.861,0.057,1.853,0.022
4.8979591836734695,0.068178,0.9896807793084804,1.5926951505447213,0.04915146600684944,0.0014162814188754314,0.04773518458797401,0.269,0.003,1.95,4.938,0.058,1.928,0.053
4.979591836734694,0.067462,0.9800633873047732,1.6582256066482806,0.09706738050439212,0.003046302691330957,0.09402107781306117,0.278,0.006,2.028,5.016,0.059,2.005,0.104
5.061224489795919,0.06676,0.9718350982047221,1.7247077876173575,0.14023329583815045,0.006175847854322977,0.13405744798382746,0.287,0.009,2.107,5.094,0.06,2.084,0.151
