,theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0,0.2,-7.0,1.142603542902794,0.003896401746252231,1.388380053424903,1.0001810414822736,0.013251318632696749,-0.00030278417620789724,2.5167879626961098e-05,0.031,-0.0,0.089,1.615,0.04,0.052,-0.0
1,0.3,-7.0,0.7704248732541791,0.0003049926723501141,1.0132399514897148,1.000142049689399,0.03134430667776954,-0.0003081781388925619,2.1820724959639715e-05,0.04,-0.0,0.109,1.615,0.04,0.081,-0.0
2,0.4,-7.0,0.5793646434113067,8.104417522581391e-05,0.8195018167629787,1.0000924550635328,0.058557914895344294,-0.00031206098348626857,1.5834149904789263e-05,0.045,-0.0,0.137,1.615,0.04,0.115,-0.0
3,0.5,-7.0,0.46455028105296764,8.75742331934765e-09,0.7041311334533062,1.0000372357370837,0.10005435848616163,-0.0003089787046741707,4.669898438752762e-06,0.048,-0.0,0.179,1.615,0.04,0.16,-0.0
4,0.2,-5.666666666666667,1.1884751882695248,0.0018278294277912688,1.4174340919068555,1.0001791077450375,0.03349111269585443,-0.00031073494044709955,1.706633441376365e-05,0.071,-0.0,0.2,1.806,0.078,0.122,-0.0
5,0.3,-5.666666666666667,0.7999367471807949,0.0005513142086396066,1.0222788638134173,1.00010317781343,0.07816796520426703,-0.00031722370231590123,8.283795774101838e-06,0.089,-0.0,0.248,1.806,0.078,0.19,-0.0
6,0.4,-5.666666666666667,0.6032396187386129,5.185596631860743e-05,0.8254348705614096,1.0000067100931511,0.14584123069262153,-0.0003002971806560778,4.3670601718170943e-07,0.1,-0.0,0.317,1.806,0.078,0.271,-0.0
7,0.5,-5.666666666666667,0.4835143404486148,0.00013868028447208767,0.7953036777272338,1.0000000110573775,0.24936437654377003,-0.0002976280567996374,0.0,0.108,-0.0,0.422,1.806,0.078,0.384,-0.0
8,0.2,-4.333333333333334,1.2641482584019397,0.0009636342747468654,1.4893260120308103,1.000093076498314,0.0751500555934138,-0.00031310091788855343,1.2226186965336172e-06,0.147,-0.0,0.41,2.036,0.139,0.259,-0.0
9,0.3,-4.333333333333334,0.8548801037392798,0.00020611102175820465,1.0648618991293601,1.0000005330803876,0.17284143887001163,-0.00029784682394000823,2.0808705346782764e-07,0.183,-0.0,0.514,2.036,0.139,0.402,-0.0
10,0.4,-4.333333333333334,0.6457032533652534,8.24344710188475e-05,0.8475677592582447,0.9999999742883515,0.31926442148910245,-0.0002975969910935586,0.0,0.205,0.0,0.663,2.036,0.139,0.575,0.0
11,0.5,-4.333333333333334,0.5186231326136828,9.308044930656476e-05,0.8203981793721513,0.12217779603496116,0.5371119310751226,0.5270691447090097,1.8830107417766584e-08,0.218,0.164,0.883,2.036,0.139,0.81,0.732
12,0.2,-3.0,1.3895036864706876,0.000572927120886193,1.5999609837890945,1.0000017527453302,0.1486486163717114,-0.00029820267303601414,1.2969409504681723e-07,0.276,-0.0,0.769,2.315,0.227,0.493,-0.0
13,0.3,-3.0,0.9465316620837626,0.00021827066168373513,1.1427660235470436,-5.615769851764068e-06,0.3348841801041557,0.3338096848243973,5.469985113008377e-09,0.342,0.311,0.966,2.315,0.227,0.762,0.723
14,0.4,-3.0,0.7182883141517415,0.0001099215816311653,0.9445400546945524,0.004684435025713485,0.60413961547103,0.6021097611280122,0.26432805516499236,0.38,0.341,1.241,2.315,0.227,1.08,1.028
15,0.5,-3.0,0.5789749862232958,6.437820874208766e-05,0.5789749862232958,6.437820874208766e-05,0.9799683247704605,0.9797886372343408,0.6360059098669321,0.406,0.406,1.62,2.315,0.227,1.487,1.487
