theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
5.63265306122449,0.40233207886858274,0.025114233118862912,2.2129738758780833,2.2098810493301255,4.1297999093359294e-05,0.354,0.379,2.685,5.648,0.067,2.655,2.684
5.714285714285714,0.4028223566839564,0.021886892182273823,2.285293720029981,2.2820984991806403,3.1590664396841106e-05,0.364,0.39,2.772,5.728,0.068,2.741,2.77
5.795918367346939,0.40331266201583016,0.016455105761069476,2.3581346582948646,2.354798324632213,2.525440858436312e-05,0.375,0.402,2.859,5.808,0.069,2.827,2.857
5.877551020408163,0.4038030720466437,0.01200320922740245,2.431454293789754,2.427989850994294,2.0124598570703256e-05,0.386,0.414,2.946,5.888,0.07,2.914,2.945
5.959183673469388,0.40429366228406505,0.010349272745231194,2.5052116498682184,2.5016650646081025,1.608995301216609e-05,0.397,0.425,3.034,5.969,0.071,3.002,3.033
6.040816326530612,0.4047845062111826,0.007317411131868962,2.5793672129503573,2.575713031497578,1.2140227144907811e-05,0.409,0.437,3.123,6.049,0.072,3.09,3.122
6.122448979591836,0.4052756749929785,0.006353774487718062,2.653882962174511,2.650156775793327,9.707286219295952e-06,0.42,0.449,3.212,6.13,0.073,3.179,3.212
6.204081632653061,0.40576723723648644,0.004412925027181738,2.728722387095818,2.7249056556672997,7.344024200772736e-06,0.432,0.462,3.302,6.211,0.074,3.268,3.302
6.285714285714286,0.4062592588015532,0.004060363970471653,2.8038504946455456,2.799971754901174,5.872770925119397e-06,0.444,0.474,3.393,6.291,0.075,3.358,3.392
6.36734693877551,0.4067518026587236,0.002841530312019889,2.8792338065355416,2.8752763949286315,4.647065476426349e-06,0.456,0.486,3.483,6.372,0.076,3.449,3.483
6.448979591836734,0.4072449287905263,0.0024556607909123284,2.9548403482481524,2.9508195606040797,3.871273750455373e-06,0.468,0.499,3.575,6.453,0.077,3.539,3.574
6.530612244897959,0.4077386941321889,0.0017075966148995027,3.0306396306966765,3.02654812813258,3.0960649821665243e-06,0.48,0.512,3.666,6.534,0.078,3.63,3.666
6.612244897959183,0.4082331525477739,0.001488498037492613,3.1066026255780512,3.102450390693793,2.465839240350931e-06,0.492,0.525,3.758,6.616,0.079,3.722,3.758
6.6938775510204085,0.408728354837742,0.00101104347466097,3.1827017353704212,3.1784833954900336,2.0543712819787174e-06,0.505,0.538,3.851,6.697,0.08,3.814,3.851
6.775510204081632,0.40922434877392005,0.0008882863665932328,3.258910758855969,3.2546331711035017,1.649093553268699e-06,0.518,0.551,3.943,6.778,0.081,3.906,3.943
6.857142857142857,0.4097211791581035,0.0007863980203627128,3.335204852975742,3.330868286612028,1.442697162623574e-06,0.531,0.564,4.036,6.859,0.082,3.998,4.036
6.938775510204081,0.4102188879005641,0.0005236276709415721,3.411560491749648,3.40716145068514,1.236392351167126e-06,0.544,0.578,4.129,6.941,0.083,4.091,4.129
7.020408163265306,0.4107175141150467,0.0004664334687698763,3.487955422922883,3.483497994838412,1.030169388904767e-06,0.557,0.591,4.223,7.022,0.084,4.184,4.223
7.1020408163265305,0.41121709422704733,0.0004179865313928414,3.5643686229303775,3.559852857101787,8.539990377087747e-07,0.57,0.605,4.316,7.103,0.085,4.277,4.316
7.183673469387754,0.4117176620923587,0.0002837495164865677,3.640780250704607,3.636204164341014,7.471655445456804e-07,0.584,0.619,4.41,7.185,0.086,4.371,4.41
7.26530612244898,0.4122192491232817,0.0002554481956432831,3.717171600789322,3.7125373203409917,6.403619474681932e-07,0.597,0.633,4.504,7.266,0.087,4.464,4.504
7.346938775510203,0.41272188441997854,0.00023106514454940714,3.793525056163457,3.7888325369711975,5.335848509702146e-07,0.611,0.648,4.598,7.348,0.088,4.558,4.598
7.428571428571429,0.4132255949049601,0.0002098969383133531,3.869824041125074,3.865073223366068,4.268311863953045e-07,0.625,0.662,4.693,7.429,0.089,4.652,4.693
7.5102040816326525,0.4137304054586898,0.00014173447261374428,3.9460529745354282,3.9412426678155823,3.534423500539674e-07,0.64,0.677,4.787,7.511,0.09,4.746,4.787
7.591836734693877,0.41423633905478424,0.0001293016110655576,4.0221972236778285,4.017328539539185,2.9451651961664993e-07,0.654,0.692,4.882,7.592,0.091,4.84,4.882
7.673469387755102,0.41474341689340394,0.00011840843673316392,4.098243058944727,4.0933159011116675,2.355995327718574e-07,0.668,0.707,4.977,7.674,0.092,4.934,4.977
7.755102040816326,0.4152516585316622,0.00010881234319572858,4.174177609529357,4.169191875460356,1.7669029972466888e-07,0.683,0.722,5.071,7.756,0.093,5.028,5.071
7.836734693877551,0.4157610820101047,7.058137061684983e-05,4.249988820265257,4.244943703201027,1.1778785591332053e-07,0.698,0.737,5.166,7.837,0.094,5.122,5.166
7.918367346938775,0.4162717039745531,6.50213613584312e-05,4.325665409727319,4.32056153634258,5.889133980474526e-08,0.713,0.752,5.261,7.919,0.095,5.217,5.261
8.0,0.4167835397926566,6.008479501756411e-05,4.401196829682202,4.396034080300656,0.0,0.728,0.768,5.356,8.0,0.096,5.311,5.356
