theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.04,0.3895684048713944,5.996669408601659,1.1776656258390619,0.0018441811846839316,0.0,0.0018441811846839316,0.0,0.0,1.476,6.0,0.04,1.458,0.002
0.04842105263157895,0.3934073827740542,5.988574374481536,1.3092934916198797,0.006733401678829874,0.00015551717035100499,0.006577884508478869,0.0,0.001,1.67,6.0,0.048,1.649,0.007
0.056842105263157895,0.3973349765336785,5.618656881752156,1.4206175869473492,0.22567015902662896,0.0005836144496960509,0.22508654457693292,0.0,0.022,1.844,6.0,0.057,1.819,0.253
0.06526315789473684,0.4013516306982093,4.993530934827406,1.5154853810863576,0.5749653214347314,0.01279568792078815,0.5621696335139433,0.0,0.066,2.002,6.0,0.065,1.972,0.657
0.0736842105263158,0.4054582727226426,4.4108135183793475,1.5967452851179553,0.8728246929050099,0.04173057354394542,0.8310941193610645,0.0,0.117,2.146,6.0,0.074,2.112,1.019
0.08210526315789474,0.40965624677233203,3.8659191973345233,1.6665651865577178,1.1234420258445035,0.08318578361282662,1.0402562422316768,0.0,0.175,2.278,6.0,0.082,2.24,1.342
0.09052631578947368,0.4139472612075923,3.3606427270786323,1.7266333548056987,1.3297877918942775,0.13406239073330534,1.1957254011609721,0.0,0.239,2.401,6.0,0.091,2.359,1.628
0.09894736842105263,0.41833334726819954,2.900983753742078,1.7782902773141491,1.495189276431315,0.1918476880575088,1.3033415883738062,0.0,0.307,2.515,6.0,0.099,2.469,1.878
0.10736842105263159,0.4228168269597122,2.493231053903751,1.8226180968577324,1.624417871239879,0.25438639447664374,1.3700314767632351,0.0,0.377,2.622,6.0,0.107,2.571,2.095
0.11578947368421053,0.42740028853269457,2.1400052363272177,1.860503028496638,1.723595847149182,0.3198416546817772,1.4037541924674046,0.0,0.447,2.723,6.0,0.116,2.667,2.282
0.12421052631578947,0.4320865682598013,1.8389093655670072,1.8926799965020196,1.7991194799133259,0.38673619827020883,1.412383281643117,0.0,0.517,2.817,6.0,0.124,2.757,2.445
0.13263157894736843,0.43687873746964384,1.5839736843692387,1.9197652428787078,1.8565903099820278,0.45397133270126505,1.4026189772807627,0.0,0.586,2.907,6.0,0.133,2.842,2.589
0.14105263157894737,0.4417800940021774,1.3679123632721257,1.942280599043395,1.900365062981428,0.52078835449115,1.379576708490278,0.0,0.653,2.992,6.0,0.141,2.922,2.717
0.14947368421052631,0.44679415741791906,1.1837110145118566,1.9606718545203947,1.9336195718198135,0.5866956291508745,1.346923942668939,0.0,0.72,3.073,6.0,0.149,2.998,2.834
0.15789473684210525,0.45192466742998166,1.0256307635400341,1.975322865880395,1.9585928658310583,0.6513934102955397,1.3071994555355186,0.0,0.785,3.15,6.0,0.158,3.07,2.94
0.16631578947368422,0.4571755851400565,0.8874802175751828,1.9865665390676888,1.9769600408392836,0.7147090255079782,1.2622510153313053,0.0,0.85,3.224,6.0,0.166,3.139,3.04
0.17473684210526316,0.46255109675182887,0.7672413257756385,1.9946934814795472,1.9897763726302937,0.7765711505119908,1.213205222118303,0.0,0.914,3.295,6.0,0.175,3.204,3.133
0.1831578947368421,0.46805561951200414,0.6605720928918518,1.9999588931302,1.9979552585709575,0.8369420883388565,1.161013170232101,0.0,0.978,3.363,6.0,0.183,3.266,3.22
0.19157894736842104,0.47369380969317615,0.5652955802856242,2.0025881102851715,2.0021252786946873,0.8958343393975225,1.1062909392971647,0.0,1.041,3.428,6.0,0.192,3.326,3.304
0.2,0.4794705724869519,0.4793889216469184,2.0027811059907785,2.0027811056199196,0.9532796995658142,1.0495014060541055,0.0,1.104,3.49,6.0,0.2,3.383,3.383
