theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
-7.0,0.464307,10.0,0.10016900235807323,0.0010750151876663524,0.0,0.048,0.0,0.179,1.615,0.04,0.161,0.002
-6.918367346938775,0.465215,10.0,0.1063152415911619,0.0012756965567136901,0.00020182004017474386,0.051,0.0,0.189,1.626,0.042,0.17,0.002
-6.836734693877551,0.466115,10.0,0.11278763512566967,0.0014942488248360377,0.000421619181740468,0.054,0.0,0.2,1.637,0.044,0.18,0.003
-6.755102040816326,0.467053,10.0,0.11959934188236683,0.0017320811797030726,0.0006608163490765262,0.056,0.0,0.211,1.647,0.046,0.19,0.003
-6.673469387755102,0.46803,10.0,0.1267637085638825,0.0019906928099860583,0.0009209212900925245,0.059,0.0,0.223,1.659,0.048,0.201,0.003
-6.591836734693878,0.469047,10.0,0.1342942408466454,0.0022716762865096023,0.0012035380218097802,0.062,0.0,0.235,1.67,0.05,0.212,0.003
-6.510204081632653,0.470105,10.0,0.14220457172956222,0.0025767207892937265,0.0015103681264352076,0.065,0.0,0.248,1.681,0.052,0.224,0.004
-6.428571428571429,0.471207,10.0,0.15050842686233804,0.002907615144403625,0.0018432138621207184,0.069,0.0,0.262,1.693,0.054,0.237,0.004
-6.346938775510204,0.472352,10.0,0.159219586884101,0.003266250673570413,0.0022039810916842373,0.072,0.0,0.276,1.704,0.056,0.25,0.004
-6.26530612244898,0.473543,10.0,0.16835184667113065,0.0036546237540910284,0.0025946819271162602,0.076,0.0,0.291,1.716,0.059,0.263,0.005
-6.183673469387755,0.474648,10.0,0.17791897154059838,0.004074838104466924,0.003017437105664822,0.08,0.0,0.306,1.728,0.061,0.278,0.005
-6.1020408163265305,0.476048,10.0,0.18793465098345832,0.004529106726313172,0.0034744780283889054,0.084,0.0,0.323,1.74,0.064,0.292,0.006
-6.020408163265306,0.477421,10.0,0.19841244818300635,0.00501975346340684,0.003968148422413165,0.088,0.0,0.339,1.752,0.066,0.308,0.006
-5.938775510204081,0.478805,10.0,0.20936574882515072,0.005549214149576816,0.004500905598977534,0.092,0.0,0.357,1.764,0.069,0.324,0.007
-5.857142857142858,0.48024,10.0,0.22080770545384107,0.006120037297068289,0.005075321259314314,0.096,0.0,0.376,1.776,0.072,0.341,0.007
-5.775510204081633,0.48173,10.0,0.2327511804714738,0.006734884281680579,0.0056940818050816855,0.101,0.0,0.395,1.789,0.074,0.359,0.008
-5.6938775510204085,0.483275,10.0,0.24520868666445939,0.007396529007907806,0.006359988137027095,0.106,0.0,0.415,1.801,0.077,0.378,0.008
-5.612244897959184,0.484877,10.0,0.25819232586476776,0.008107857013671678,0.007075954901920534,0.111,0.0,0.436,1.814,0.08,0.397,0.009
-5.530612244897959,0.486538,10.0,0.27171372603352967,0.00887186397748212,0.007845009151097704,0.116,0.0,0.457,1.827,0.083,0.417,0.01
-5.448979591836735,0.48826,10.0,0.2857839771195634,0.009691653629040665,0.008670288412111316,0.121,0.0,0.48,1.84,0.087,0.438,0.011
-5.36734693877551,0.490044,10.0,0.30041356606615777,0.01057043503223314,0.009555038142975758,0.127,0.0,0.503,1.854,0.09,0.459,0.012
-5.285714285714286,0.491891,10.0,0.31561231136796547,0.01151151922063903,0.010502608549667336,0.133,0.0,0.528,1.867,0.093,0.482,0.013
-5.204081632653061,0.493805,10.0,0.33138929766457187,0.012518315222259619,0.011516450804163081,0.139,0.0,0.553,1.881,0.097,0.505,0.014
-5.122448979591837,0.495787,10.0,0.3477528108199264,0.013594325431206616,0.012600112621338866,0.145,0.0,0.579,1.894,0.1,0.529,0.015
-5.040816326530612,0.497839,10.0,0.36471027397741085,0.014743140365535898,0.013757233234527821,0.152,0.0,0.606,1.908,0.104,0.554,0.016
-4.959183673469388,0.499962,10.0,0.3822681851473,0.015968432843593356,0.014991537802742316,0.158,0.0,0.634,1.922,0.108,0.58,0.017
-4.877551020408164,0.50216,10.0,0.4004320568062498,0.01727395158315803,0.016306831254500942,0.165,0.0,0.663,1.937,0.111,0.607,0.018
-4.795918367346939,0.504433,10.0,0.41920635808649437,0.018663514269798294,0.017706991615351386,0.173,0.0,0.693,1.951,0.115,0.635,0.02
-4.714285714285714,0.506785,10.0,0.4385944600529781,0.020141000160230148,0.019195962885594442,0.18,0.0,0.724,1.965,0.119,0.664,0.021
-4.63265306122449,0.509219,10.0,0.4585985846339236,0.02171034225625805,0.020777747504501898,0.188,0.0,0.756,1.98,0.123,0.693,0.023
-4.551020408163266,0.51186,10.0,0.4792197569597458,0.02337551910405268,0.022456398456534576,0.196,0.0,0.79,1.995,0.128,0.724,0.025
-4.469387755102041,0.514416,8.610650889297624,0.5004577662604196,0.05340322463719134,0.02423601111800977,0.204,0.001,0.824,2.01,0.132,0.756,0.055
-4.387755102040817,0.517072,4.5213633560768285,0.5223111231197074,0.2764075252247323,0.027846572411128534,0.213,0.018,0.859,2.025,0.136,0.788,0.299
-4.3061224489795915,0.519828,2.781509697246276,0.5447770320717616,0.4346182706481732,0.04320096093166337,0.221,0.061,0.895,2.041,0.141,0.822,0.511
-4.224489795918368,0.522688,2.554028571154762,0.56785136442266,0.472611784363128,0.06697884955280908,0.231,0.074,0.933,2.057,0.145,0.856,0.565
-4.142857142857143,0.525652,2.282180393556444,0.5915286386298811,0.5148088729973863,0.09264803793212995,0.24,0.092,0.971,2.072,0.15,0.891,0.629
