theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,4.0,1.409835,10.0,0.08329425723414624,0.0,0.0,0.0,0.129,0.0,0.538,4.11,0.047,0.244,0.0
0.2888888888888889,4.0,0.976789,10.0,0.17832446398385604,0.0,0.0,0.0,0.148,0.0,0.567,4.11,0.047,0.363,0.001
0.37777777777777777,4.0,0.74733,10.0,0.31451862246924195,0.0,0.0,0.0,0.158,0.0,0.667,4.11,0.047,0.512,0.002
0.4666666666666667,4.0,0.604958,10.0,0.5043932304430743,0.0,0.0,0.0,0.165,0.0,0.834,4.11,0.047,0.71,0.003
0.5555555555555556,4.0,0.508243,10.0,0.7591834809979326,0.0,0.0,0.0,0.169,0.0,1.07,4.11,0.047,0.971,0.007
0.6444444444444445,4.0,0.438252,10.0,1.0821825375745542,0.0,0.0,0.0,0.172,0.0,1.375,4.11,0.047,1.298,0.014
0.7333333333333334,4.0,0.385059,10.0,1.4633136484771252,0.0,0.0,0.0,0.175,0.0,1.738,4.11,0.047,1.682,0.025
0.8222222222222222,4.0,0.343446,10.0,1.8806945932809593,0.0,0.0,0.0,0.177,0.0,2.133,4.11,0.047,2.102,0.04
0.9111111111111112,4.0,0.309954,2.098652031914067,2.309372991231214,2.189037922468862,0.05974123867982806,2.129296683789034,0.178,0.1,2.537,4.11,0.047,2.532,2.314
1.0,4.0,0.282423,1.0890857370436837,2.7299195429736756,2.7077705948781725,0.45663081588947374,2.2511397789886987,0.18,0.143,2.929,4.11,0.047,2.954,2.886
0.2,4.444444444444445,1.450352,10.0,0.11343583821273953,0.0,0.0,0.0,0.163,0.0,0.651,4.513,0.053,0.317,0.001
0.2888888888888889,4.444444444444445,1.004761,10.0,0.24213576872716253,0.0,0.0,0.0,0.185,0.0,0.705,4.513,0.053,0.474,0.002
0.37777777777777777,4.444444444444445,0.768702,10.0,0.42613389623221126,0.0,0.0,0.0,0.197,0.0,0.847,4.513,0.053,0.673,0.004
0.4666666666666667,4.444444444444445,0.622232,10.0,0.6789991139628193,0.0,0.0,0.0,0.205,0.0,1.072,4.513,0.053,0.935,0.008
0.5555555555555556,4.444444444444445,0.522743,10.0,1.0080262044300854,0.0,0.0,0.0,0.21,0.0,1.377,4.513,0.053,1.271,0.015
0.6444444444444445,4.444444444444445,0.45075,10.0,1.4061365493374998,0.0,0.0,0.0,0.214,0.0,1.751,4.513,0.053,1.674,0.027
0.7333333333333334,4.444444444444445,0.39603,10.0,1.8506090428890962,0.0,0.0,0.0,0.217,0.0,2.169,4.513,0.053,2.122,0.045
0.8222222222222222,4.444444444444445,0.353228,2.0488075823457916,2.3120012466693005,2.2087353530044522,0.11149934225172531,2.097236010752727,0.219,0.134,2.601,4.513,0.053,2.586,2.376
0.9111111111111112,4.444444444444445,0.31878,1.0894504788001493,2.765731004664598,2.745723520934501,0.542862181997441,2.2028613389370597,0.221,0.181,3.021,4.513,0.053,3.042,2.972
1.0,4.444444444444445,0.290462,1.0095852135111638,3.19742826361706,3.1781631569524804,0.9702636203926825,2.2078995365597978,0.222,0.185,3.416,4.513,0.053,3.475,3.409
0.2,4.888888888888889,1.489687,10.0,0.15091973872600056,0.0,0.0,0.0,0.202,0.0,0.776,4.929,0.058,0.403,0.001
0.2888888888888889,4.888888888888889,1.032095,10.0,0.3209400208044102,0.0,0.0,0.0,0.227,0.0,0.862,4.929,0.058,0.605,0.003
0.37777777777777777,4.888888888888889,0.789471,10.0,0.5624312446823376,0.0,0.0,0.0,0.241,0.0,1.055,4.929,0.058,0.864,0.007
0.4666666666666667,4.888888888888889,0.639036,10.0,0.8875005915928804,0.0,0.0,0.0,0.25,0.0,1.346,4.929,0.058,1.2,0.015
0.5555555555555556,4.888888888888889,0.536847,10.0,1.2949021807659427,0.0,0.0,0.0,0.256,0.0,1.721,4.929,0.058,1.615,0.029
0.6444444444444445,4.888888888888889,0.462902,10.0,1.763777956829221,0.0,0.0,0.0,0.26,0.0,2.157,4.929,0.058,2.089,0.048
0.7333333333333334,4.888888888888889,0.406705,2.241537787388859,2.2604026884457715,2.1433416698668153,0.11891308829815939,2.024428581568656,0.263,0.16,2.618,4.929,0.058,2.59,2.344
0.8222222222222222,4.888888888888889,0.362746,1.0585631795716202,2.7530337120856876,2.7373994004062547,0.5889752402384792,2.1484241601677754,0.266,0.226,3.072,4.929,0.058,3.086,3.02
0.9111111111111112,4.888888888888889,0.327367,0.9932686914351639,3.221591880504644,3.205542441274024,1.0535007360660438,2.15204170520798,0.268,0.23,3.498,4.929,0.058,3.557,3.493
1.0,4.888888888888889,0.298284,0.8543737383096334,3.657899224048137,3.645765020317016,1.48616645742226,2.159598562894756,0.27,0.238,3.887,4.929,0.058,3.995,3.943
0.2,5.333333333333333,1.528059,10.0,0.19667418147673338,0.0,0.0,0.0,0.245,0.0,0.913,5.356,0.064,0.503,0.003
0.2888888888888889,5.333333333333333,1.058981,10.0,0.4162921478679523,0.0,0.0,0.0,0.274,0.0,1.039,5.356,0.064,0.759,0.007
