theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.25,1.0,1.25,1.0,0.0,0.0,1.28125,0.0,0.0
1.5,1.0,1.5,1.0,0.5601581070408213,0.4072126937767391,1.625,1.0076502129097389,0.00010646063076053626
1.75,1.0,1.75,1.0,1.3248648721836334,0.715288070553397,2.03125,1.9003496201636771,0.1401459873909658
2.0,1.0,2.0,1.0,2.0,0.8248650137067274,2.5,2.4846638682880275,0.4713622054368742
1.0,1.25,1.0,1.25,0.0,0.0,1.28125,0.0,0.0
1.25,1.25,1.25,1.25,0.4076274453100237,0.4076274453100241,1.5625,0.8529084791050832,8.456611577795727e-05
1.5,1.25,1.5,1.25,0.8686799330402271,0.7161654377971431,1.90625,1.564477816625796,0.10199142744328399
1.75,1.25,1.75,1.25,1.4344510756950255,0.9195223548392049,2.3125,2.2081067012094744,0.31916141070334064
2.0,1.25,2.0,1.25,2.0000000000000018,1.0093163627835864,2.78125,2.752285693388139,0.6777741796270973
1.0,1.5,1.0,1.5,0.40721269377673897,0.5601581070408213,1.625,1.0076502129097387,0.0001064606307605394
1.25,1.5,1.25,1.5,0.7161654377971436,0.8686799330402273,1.90625,1.5644778166257964,0.10199142744328399
1.5,1.5,1.5,1.5,1.071160242490121,1.0711602424901208,2.25,2.0660964623788685,0.28103278689256966
1.75,1.5,1.75,1.5,1.524257665115029,1.2164251123492915,2.65625,2.5905628406672854,0.5490419994131417
2.0,1.5,2.0,1.5,2.0000000000000018,1.2835743005764593,3.125,3.101579958314516,0.9301064156918983
1.0,1.75,1.0,1.75,0.715288070553397,1.3248648721836336,2.03125,1.9003496201636771,0.1401459873909658
1.25,1.75,1.25,1.75,0.9195223548392051,1.4344510756950255,2.3125,2.2081067012094744,0.31916141070334064
1.5,1.75,1.5,1.75,1.2164251123492913,1.524257665115029,2.65625,2.5905628406672845,0.5490419994131421
1.75,1.75,1.75,1.75,1.5914252393186843,1.591425239318684,3.0625,3.0373540452748635,0.8531482775004651
2.0,1.75,2.0,1.75,2.0,1.6249998395722933,3.53125,3.523437479946524,1.2510045873301372
1.0,2.0,1.0,2.0,0.8248650137067274,2.0,2.5,2.4846638682880275,0.4713622054368742
1.25,2.0,1.25,2.0,1.0093163627835864,2.0000000000000018,2.78125,2.752285693388139,0.6777741796270973
1.5,2.0,1.5,2.0,1.2835743005764597,2.0000000000000018,3.125,3.1015799583145163,0.9301064156918997
1.75,2.0,1.75,2.0,1.6249998395722933,2.0,3.53125,3.523437479946524,1.2510045873301372
2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.6572545472232105
