theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents
1.0,0.0,1.0,1.0,0.733748045482258,1.0,2.0,1.9675020014568387,0.25
1.5,0.0,1.5,1.0,1.2337487549150072,1.0,2.5,2.467502167289357,0.551494858223152
2.0,0.0,2.0,1.0,1.786860616282107,1.0,3.0,2.9788171150226703,0.8529893975536623
2.5,0.0,2.5,1.0,2.4565966892978732,1.0,3.5,3.4990715572499136,1.1709297409177069
3.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.547686522933191
1.0,0.25,1.0,1.0,0.733749812620642,1.0,1.75,1.7175024145312303,2.9225089219542255e-05
1.5,0.25,1.5,1.0,1.233748292604748,1.0,2.25,2.217502059222675,0.30152408331237157
2.0,0.25,2.0,1.0,1.7868606162821075,1.0,2.75,2.7288171150226703,0.6030184832588954
2.5,0.25,2.5,1.0,2.4565966892978732,1.0,3.25,3.2490715572499136,0.9209588266229399
3.0,0.25,3.0,1.0,3.0,1.0,3.75,3.75,1.2977156086384243
1.0,0.5,1.0,1.0,0.00015477507170011558,5.9555433207927194e-05,1.5,0.6322481686434147,1.4612544609771128e-05
1.5,0.5,1.5,1.0,0.8636968927966515,0.6269964099790164,2.0,1.6479497224774553,0.1447862988818185
2.0,0.5,2.0,1.0,1.7868597557884969,1.0,2.5,2.4788169498450303,0.35302812755467416
2.5,0.5,2.5,1.0,2.456596541066928,1.0,3.0,2.999071550953813,0.6709681973332025
3.0,0.5,3.0,1.0,3.0,1.0,3.5,3.5,1.047724923501677
1.0,0.75,1.0,1.0,0.0,5.845017843914956e-05,1.25,0.6321351713731674,0.0
1.5,0.75,1.5,1.0,0.33647470484790076,5.4841229667065665e-05,1.75,1.0241054199164215,0.14477141002351646
2.0,0.75,2.0,1.0,1.2108040549913672,0.34138609691158456,2.25,1.8419407210182916,0.26768454107715645
2.5,0.75,2.5,1.0,2.3115776187007566,0.8982793743452261,2.75,2.707882672506499,0.4464021943355111
3.0,0.75,3.0,1.0,2.9999999999989986,1.0,3.25,3.25,0.797724923501677
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6321205588285577,0.0
1.5,1.0,1.5,1.0,0.33646410366664375,0.0,1.5,1.0240844200389485,0.14475769971609975
2.0,1.0,2.0,1.0,0.8946121998975524,0.0,2.0,1.5635297363676324,0.26767083076973974
2.5,1.0,2.5,1.0,1.5341855806439202,0.000480618819134866,2.5,2.153512534682029,0.3979416292755734
3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,0.5477291511674174
