theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.0769837700814478,1.0,0.9486478839515536,0.0,0.0,0.0,0.178,0.0,1.188,4.11,0.047,1.171,0.0
4.2105263157894735,0.074757014419818,1.0,1.085444605174831,0.0,0.0,0.0,0.197,0.0,1.35,4.299,0.05,1.332,0.0
4.421052631578947,0.07263287327820556,1.0,1.2314986419940515,0.0,0.0,0.0,0.218,0.0,1.523,4.491,0.052,1.504,0.0
4.631578947368421,0.07060703326188382,1.0,1.3860944307495278,0.0,0.0,0.0,0.24,0.0,1.706,4.687,0.055,1.686,0.0
4.842105263157895,0.06867520752865777,0.9942603836601797,1.5484329739470475,0.02687120978192412,0.00064926818347429,0.02622194159844983,0.262,0.002,1.898,4.885,0.058,1.876,0.029
5.052631578947368,0.06683315547851972,0.9874579249330762,1.7176663501769125,0.06307692901272742,0.002985155725796125,0.06009177328693129,0.286,0.004,2.098,5.086,0.06,2.075,0.068
5.2631578947368425,0.06507670162878314,0.9608805196127639,1.8929295090681681,0.20676299917682284,0.007993470341050402,0.19876952883577242,0.311,0.013,2.306,5.288,0.063,2.282,0.223
5.473684210526316,0.0634017532751074,0.8706692373399879,2.073367526997038,0.6799046859015198,0.023307515890427222,0.6565971700110925,0.337,0.047,2.52,5.493,0.065,2.494,0.738
5.684210526315789,0.0618043165747753,0.7754369648298188,2.2581573556391685,1.1632516898234149,0.07333537208717321,1.0899163177362416,0.364,0.087,2.74,5.698,0.068,2.713,1.272
5.894736842105263,0.060280510753031064,0.6711487574018475,2.4465238471756288,1.6548104706382856,0.15877695719171903,1.4960335134465665,0.392,0.137,2.965,5.905,0.071,2.936,1.826
6.105263157894736,0.05882658021572723,0.5518928226080421,2.6377504042810678,2.1434248180288797,0.280741950082775,1.8626828679461047,0.421,0.2,3.194,6.113,0.073,3.164,2.394
6.315789473684211,0.057438904441900494,0.4185366250918363,2.831184958643635,2.5851140933309975,0.4398980472361238,2.1452160460948737,0.451,0.278,3.426,6.321,0.076,3.395,2.933
6.526315789473684,0.05611400561945602,0.302511722173027,3.0262421505534274,2.918666967876832,0.6324676595876846,2.2861993082891474,0.482,0.357,3.661,6.53,0.078,3.629,3.364
6.7368421052631575,0.05484855406896294,0.22383558944688506,3.222402607936905,3.172704819499979,0.8464109629879064,2.3262938565120725,0.515,0.423,3.899,6.74,0.081,3.866,3.701
6.947368421052632,0.05363937156988521,0.1732869502566299,3.4192101548787255,3.3938689722951305,1.0714343559181767,2.322434616376954,0.548,0.479,4.139,6.949,0.083,4.104,3.992
7.157894736842105,0.05248343275766016,0.14382550240248249,3.6162676601482504,3.6008484473649514,1.3025464940998663,2.298301953265085,0.583,0.526,4.381,7.159,0.086,4.344,4.259
7.368421052631579,0.051377864798026085,0.10424141668512145,3.8132320980453933,3.8079324121466986,1.5370641072569873,2.2708683048897114,0.618,0.584,4.623,7.369,0.088,4.586,4.537
7.578947368421052,0.050319945567479825,0.07652262981398429,4.009809258489364,4.008454700701703,1.7752545354149474,2.233200165286756,0.655,0.637,4.867,7.58,0.091,4.828,4.804
7.789473684210526,0.04930710057739028,0.06107807479465375,4.205748422852574,4.205459850433473,2.0157877904117214,2.189672060021752,0.692,0.684,5.111,7.79,0.093,5.071,5.06
8.0,0.048336898876386765,0.048336673131662435,4.400837221891324,4.400837221889688,2.2576162032127955,2.1432210186768925,0.731,0.731,5.356,8.0,0.096,5.314,5.314
