theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,4.0,0.265965449134009,1.0,0.08410619634617755,0.0,0.0,0.0,0.142,0.0,0.49,4.11,0.047,0.261,0.0
0.2888888888888889,4.0,0.18411764120083873,1.0,0.18065845415131632,0.0,0.0,0.0,0.157,0.0,0.536,4.11,0.047,0.377,0.0
0.37777777777777777,4.0,0.14079620838815102,1.0,0.3183310987793827,0.0,0.0,0.0,0.166,0.0,0.647,4.11,0.047,0.525,0.0
0.4666666666666667,4.0,0.11398306437609745,1.0,0.5097702338113738,0.0,0.0,0.0,0.171,0.0,0.822,4.11,0.047,0.723,0.0
0.5555555555555556,4.0,0.09573553592530924,1.0,0.7661418901127326,0.0,0.0,0.0,0.174,0.0,1.067,4.11,0.047,0.984,0.0
0.6444444444444445,4.0,0.08252840278355213,1.0,1.0905215827128774,0.0,0.0,0.0,0.177,0.0,1.383,4.11,0.047,1.312,0.0
0.7333333333333334,4.0,0.0725228116447099,1.0,1.4725883407168672,0.0,0.0,0.0,0.179,0.0,1.759,4.11,0.047,1.696,0.0
0.8222222222222222,4.0,0.06468053970958368,0.9875984108503042,1.8903544616083272,0.07175305489443055,0.0017268626236498844,0.07002619227078066,0.18,0.002,2.172,4.11,0.047,2.116,0.075
0.9111111111111112,4.0,0.058378610321899456,0.8359926640148622,2.3189498955385752,0.9787081352924915,0.020603583397694747,0.9581045518947967,0.182,0.032,2.596,4.11,0.047,2.546,1.018
1.0,4.0,0.05318940461854546,0.5580517219861356,2.739120331550058,2.306999811226075,0.1583748904154656,2.1486249208106094,0.183,0.085,3.013,4.11,0.047,2.967,2.414
0.2,4.444444444444445,0.2552874641504475,1.0,0.11494538255288497,0.0,0.0,0.0,0.177,0.0,0.603,4.513,0.053,0.336,0.0
0.2888888888888889,4.444444444444445,0.17672484648024323,1.0,0.24556288693875952,0.0,0.0,0.0,0.196,0.0,0.675,4.513,0.053,0.49,0.0
0.37777777777777777,4.444444444444445,0.1351534570377254,1.0,0.4314272543060761,0.0,0.0,0.0,0.205,0.0,0.829,4.513,0.053,0.688,0.0
0.4666666666666667,4.444444444444445,0.1093991478426099,1.0,0.6861837071283355,0.0,0.0,0.0,0.212,0.0,1.065,4.513,0.053,0.951,0.0
0.5555555555555556,4.444444444444445,0.09189113609035414,1.0,1.0169382320473765,0.0,0.0,0.0,0.216,0.0,1.383,4.513,0.053,1.287,0.0
0.6444444444444445,4.444444444444445,0.07921426702722326,1.0,1.4163098330371087,0.0,0.0,0.0,0.219,0.0,1.772,4.513,0.053,1.69,0.0
